A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,S_INTLANGUAGE: Language in which interview was conducted,Q260: Sex,Q262: Age,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q279: Employment status,Q287: Social class (subjective),Q289: Religious denominations - major groups,Counts
2023,India,IN-BR Bihar,Rural,Hindi,Male,18,16-24,Hindi,Don't know,Lower,Part time (less than 30 hours a week),Upper class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,18,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,19,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,20,16-24,Hindi,Married,Lower,Student,Upper class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,21,16-24,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,21,16-24,Hindi,Married,Middle,Self employed,Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,21,16-24,Hindi,Single,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,22,16-24,Hindi,Single,Higher,Student,Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,23,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,24,16-24,Hindi,Married,Higher,Self employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,24,16-24,Hindi,Married,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,24,16-24,Hindi,Single,Higher,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,25,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,25,25-34,Hindi,Married,Lower,Part time (less than 30 hours a week),Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,25,25-34,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,26,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,26,25-34,Hindi,Married,Lower,Don't know,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,27,25-34,Hindi,Single,Higher,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,28,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,28,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Upper middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,28,25-34,Hindi,Married,Middle,Full time (30 hours a week or more),Don't know,Catholic (Roman/Greek/etc),1
2023,India,IN-BR Bihar,Rural,Hindi,Male,28,25-34,Hindi,Married,Middle,Full time (30 hours a week or more),Upper class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,28,25-34,Hindi,Single,Higher,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,28,25-34,Hindi,Single,Middle,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,29,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,29,25-34,Hindi,Married,Higher,Unemployed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,30,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,30,25-34,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,30,25-34,Hindi,Married,Middle,Part time (less than 30 hours a week),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,30,25-34,Hindi,Single,Higher,Student,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,30,25-34,Hindi,Single,Higher,Unemployed,Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,30,25-34,Other,Married,Higher,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,31,25-34,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,33,25-34,Hindi,Married,Middle,Part time (less than 30 hours a week),Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,35,35-44,Hindi,Married,Middle,Self employed,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,36,35-44,Hindi,Married,Middle,Self employed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,36,35-44,Hindi,Married,Middle,Unemployed,Upper class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,37,35-44,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,38,35-44,Hindi,Married,Lower,Full time (30 hours a week or more),Upper class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,39,35-44,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,39,35-44,Hindi,Married,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,40,35-44,Hindi,Married,Lower,Part time (less than 30 hours a week),Upper class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,41,35-44,Hindi,Married,Middle,Self employed,Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,42,35-44,Hindi,Married,Higher,Part time (less than 30 hours a week),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,42,35-44,Hindi,Married,Higher,Part time (less than 30 hours a week),Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,42,35-44,Hindi,Married,Lower,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,43,35-44,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,43,35-44,Hindi,Married,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,44,35-44,Hindi,Married,Lower,Unemployed,Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,44,35-44,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,46,45-54,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,48,45-54,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,49,45-54,Hindi,Married,Lower,Part time (less than 30 hours a week),Upper class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,49,45-54,Hindi,Married,Lower,Part time (less than 30 hours a week),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,49,45-54,Hindi,Married,Lower,Unemployed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,49,45-54,Hindi,Married,Middle,Part time (less than 30 hours a week),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,49,45-54,Hindi,Married,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,51,45-54,Hindi,Married,Lower,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,51,45-54,Hindi,Single,Middle,Self employed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,52,45-54,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,52,45-54,Hindi,Married,Middle,Self employed,Working class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,53,45-54,Hindi,Married,Lower,Part time (less than 30 hours a week),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,54,45-54,Hindi,Married,Lower,Unemployed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,55,55-64,Hindi,Married,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,55,55-64,Hindi,Widowed,Middle,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,56,55-64,Hindi,Married,Lower,Full time (30 hours a week or more),Don't know,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,56,55-64,Hindi,Married,Lower,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,57,55-64,Hindi,Married,Higher,Part time (less than 30 hours a week),Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,57,55-64,Hindi,Married,Lower,Part time (less than 30 hours a week),Upper class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,59,55-64,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,60,55-64,Hindi,Married,Middle,Don't know,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,60,55-64,Hindi,Married,Middle,Retired/pensioned,Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,61,55-64,Hindi,Married,Middle,Don't know,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,65,65 and more years,Hindi,Married,Lower,Unemployed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,65,65 and more years,Hindi,Married,Middle,Part time (less than 30 hours a week),Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,67,65 and more years,Hindi,Married,Don't know,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,67,65 and more years,Hindi,Married,Higher,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,72,65 and more years,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,16,16-24,Hindi,Single,Middle,Homemaker not otherwise employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,17,16-24,Hindi,Single,Higher,Student,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,19,16-24,Hindi,Single,Higher,Student,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,20,16-24,Hindi,Single,Higher,Student,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,20,16-24,Hindi,Single,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,24,16-24,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,26,25-34,Hindi,Married,Higher,Part time (less than 30 hours a week),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,28,25-34,Hindi,Married,Higher,Homemaker not otherwise employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,29,25-34,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,30,25-34,Hindi,Married,Middle,Self employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,31,25-34,Hindi,Married,Higher,Homemaker not otherwise employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,32,25-34,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,33,25-34,Hindi,Married,Lower,Full time (30 hours a week or more),Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,33,25-34,Hindi,Married,Lower,Homemaker not otherwise employed,Upper class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,35,35-44,Hindi,Married,Lower,Unemployed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,40,35-44,Hindi,Married,Lower,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,40,35-44,Hindi,Married,Middle,Self employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,40,35-44,Marathi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,44,35-44,Hindi,Married,Middle,Homemaker not otherwise employed,Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,45,45-54,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,48,45-54,Hindi,Married,Lower,Full time (30 hours a week or more),Upper class,Muslim,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,48,45-54,Hindi,Married,Lower,Homemaker not otherwise employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,51,45-54,Hindi,Married,Lower,Homemaker not otherwise employed,Working class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,52,45-54,Hindi,Married,Lower,Part time (less than 30 hours a week),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,55,55-64,Hindi,Married,Lower,Full time (30 hours a week or more),Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,56,55-64,Hindi,Married,Lower,Full time (30 hours a week or more),Upper class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,56,55-64,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,62,55-64,Hindi,Widowed,Middle,Homemaker not otherwise employed,Working class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Female,76,65 and more years,Hindi,Widowed,Lower,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,16,16-24,Hindi,Single,Lower,Part time (less than 30 hours a week),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,16,16-24,Hindi,Single,Lower,Retired/pensioned,Upper class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,16,16-24,Hindi,Single,Middle,Unemployed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,17,16-24,Hindi,Single,Higher,Full time (30 hours a week or more),Upper class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,17,16-24,Hindi,Single,Middle,Homemaker not otherwise employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,17,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Urban,Hindi,Male,17,16-24,Hindi,Single,Middle,Student,Upper middle class,Hindu,2
2023,India,IN-BR Bihar,Urban,Hindi,Male,17,16-24,Hindi,Single,Middle,Unemployed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,18,16-24,Hindi,Married,Lower,Homemaker not otherwise employed,Upper class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,19,16-24,Hindi,Single,Middle,Student,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,20,16-24,Hindi,Single,Higher,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,21,16-24,Hindi,Single,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,22,16-24,Hindi,Single,Higher,Student,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,22,16-24,Hindi,Single,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,23,16-24,Hindi,Married,Higher,Self employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,24,16-24,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,24,16-24,Hindi,Single,Higher,Unemployed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,25,25-34,Hindi,Married,Lower,Part time (less than 30 hours a week),Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,26,25-34,Hindi,Married,Higher,Student,Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,26,25-34,Hindi,Single,Higher,Student,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Urban,Hindi,Male,28,25-34,Hindi,Single,Higher,Student,Upper middle class,Hindu,2
